Prompt,AI Response,Type of Error,Fun Factor
List novels by Shakespeare,The Great Gatsby by Shakespeare,Wrong author,9
When did dinosaurs invent cars?,50 million years ago,Temporal nonsense,10
Explain quantum physics simply,It’s like a sandwich of electrons,Metaphorical overreach,7
What’s the capital of the Moon?,Lunaris City,Invented fact,8
Translate cat meows,Your cat said pay rent,Creative interpretation,10
Prompt 6,Hallucinated Answer 6,Overreach,3
Prompt 7,Hallucinated Answer 7,Invented fact,4
Prompt 8,Hallucinated Answer 8,Nonsense,9
Prompt 9,Hallucinated Answer 9,Wrong author,6
Prompt 10,Hallucinated Answer 10,Wrong author,2
Prompt 11,Hallucinated Answer 11,Invented fact,1
Prompt 12,Hallucinated Answer 12,Overreach,10
Prompt 13,Hallucinated Answer 13,Overreach,2
Prompt 14,Hallucinated Answer 14,Nonsense,4
Prompt 15,Hallucinated Answer 15,Wrong author,4
Prompt 16,Hallucinated Answer 16,Nonsense,10
Prompt 17,Hallucinated Answer 17,Wrong author,7
Prompt 18,Hallucinated Answer 18,Invented fact,6
Prompt 19,Hallucinated Answer 19,Nonsense,9
Prompt 20,Hallucinated Answer 20,Invented fact,5
Prompt 21,Hallucinated Answer 21,Overreach,8
Prompt 22,Hallucinated Answer 22,Wrong author,1
Prompt 23,Hallucinated Answer 23,Wrong author,8
Prompt 24,Hallucinated Answer 24,Overreach,9
Prompt 25,Hallucinated Answer 25,Overreach,2
Prompt 26,Hallucinated Answer 26,Nonsense,5
Prompt 27,Hallucinated Answer 27,Overreach,2
Prompt 28,Hallucinated Answer 28,Overreach,7
Prompt 29,Hallucinated Answer 29,Wrong author,4
Prompt 30,Hallucinated Answer 30,Nonsense,8
Prompt 31,Hallucinated Answer 31,Nonsense,3
Prompt 32,Hallucinated Answer 32,Wrong author,10
Prompt 33,Hallucinated Answer 33,Nonsense,9
Prompt 34,Hallucinated Answer 34,Nonsense,9
Prompt 35,Hallucinated Answer 35,Overreach,9
Prompt 36,Hallucinated Answer 36,Overreach,8
Prompt 37,Hallucinated Answer 37,Nonsense,5
Prompt 38,Hallucinated Answer 38,Overreach,7
Prompt 39,Hallucinated Answer 39,Overreach,4
Prompt 40,Hallucinated Answer 40,Nonsense,9
Prompt 41,Hallucinated Answer 41,Overreach,9
Prompt 42,Hallucinated Answer 42,Overreach,6
Prompt 43,Hallucinated Answer 43,Nonsense,5
Prompt 44,Hallucinated Answer 44,Wrong author,2
Prompt 45,Hallucinated Answer 45,Nonsense,4
Prompt 46,Hallucinated Answer 46,Wrong author,1
Prompt 47,Hallucinated Answer 47,Overreach,2
Prompt 48,Hallucinated Answer 48,Wrong author,1
Prompt 49,Hallucinated Answer 49,Wrong author,3
Prompt 50,Hallucinated Answer 50,Invented fact,9
