Meme Name,Year Created,Peak Year,Decline Year,Category,Status
Rickrolling,2007,2008,2012,Music Meme,Classic
Distracted Boyfriend,2017,2018,2019,Stock Photo,Dead-ish
Doge,2013,2014,2016,Animal,Revived
Woman Yelling at Cat,2019,2020,2021,Reaction,Fading
Grimace Shake,2023,2023,2023,Trend,Dead fast
Gangnam Style,2012,2013,2014,Music Meme,Classic
Harlem Shake,2013,2013,2014,Dance,Dead
Ice Bucket Challenge,2014,2014,2015,Charity,Classic
Among Us Sus,2020,2021,2022,Gaming,Fading
Planking,2010,2011,2012,Challenge,Dead
Meme 11,2008,2023,2019,Animal,Fading
Meme 12,2014,2012,2010,Reaction,Dead
Meme 13,2007,2014,2022,Music Meme,Dead
Meme 14,2006,2019,2025,Music Meme,Fading
Meme 15,2001,2006,2012,Music Meme,Classic
Meme 16,2018,2019,2013,Gaming,Dead
Meme 17,2018,2006,2021,Dance,Fading
Meme 18,2017,2017,2016,Reaction,Fading
Meme 19,2003,2010,2012,Charity,Classic
Meme 20,2019,2007,2024,Reaction,Classic
Meme 21,2003,2013,2021,Animal,Dead
Meme 22,2023,2009,2021,Charity,Dead
Meme 23,2004,2006,2020,Charity,Revived
Meme 24,2008,2007,2024,Dance,Dead
Meme 25,2005,2020,2014,Dance,Dead
Meme 26,2021,2019,2020,Dance,Fading
Meme 27,2006,2016,2024,Reaction,Fading
Meme 28,2013,2015,2022,Gaming,Classic
Meme 29,2021,2012,2017,Music Meme,Fading
Meme 30,2018,2016,2018,Reaction,Revived
Meme 31,2012,2018,2021,Charity,Revived
Meme 32,2003,2009,2022,Reaction,Revived
Meme 33,2009,2020,2014,Challenge,Classic
Meme 34,2022,2006,2017,Charity,Fading
Meme 35,2021,2016,2013,Charity,Revived
Meme 36,2023,2018,2011,Challenge,Fading
Meme 37,2002,2022,2018,Gaming,Revived
Meme 38,2001,2019,2019,Music Meme,Dead
Meme 39,2006,2008,2020,Animal,Dead
Meme 40,2017,2016,2017,Gaming,Classic
Meme 41,2014,2007,2011,Reaction,Revived
Meme 42,2007,2022,2015,Animal,Revived
Meme 43,2015,2020,2020,Charity,Revived
Meme 44,2011,2020,2021,Music Meme,Classic
Meme 45,2001,2005,2019,Challenge,Revived
Meme 46,2016,2023,2012,Reaction,Classic
Meme 47,2012,2014,2024,Gaming,Fading
Meme 48,2002,2009,2011,Charity,Fading
Meme 49,2015,2012,2018,Music Meme,Revived
Meme 50,2012,2007,2024,Charity,Dead
