Movie Title,Year,Twist Description,Predictability Score
The Sixth Sense,1999,Dead person was the narrator,3
Shutter Island,2010,Patient was actually the detective,5
Fight Club,1999,Narrator and Tyler are the same person,2
Frozen,2013,Prince Hans was the villain,7
Coco,2017,Family member as antagonist,6
The Others,2001,The family were actually ghosts,4
Gone Girl,2014,Wife faked her disappearance,6
The Village,2004,"Set in modern day, not past",3
Arrival,2016,Time was nonlinear in story,5
Oldboy,2003,Protagonist tricked into tragedy,2
Twisty Movie 11,2018,Unexpected plot twist 11,3
Twisty Movie 12,1983,Unexpected plot twist 12,10
Twisty Movie 13,1984,Unexpected plot twist 13,9
Twisty Movie 14,1997,Unexpected plot twist 14,5
Twisty Movie 15,2016,Unexpected plot twist 15,9
Twisty Movie 16,1988,Unexpected plot twist 16,8
Twisty Movie 17,2021,Unexpected plot twist 17,8
Twisty Movie 18,1981,Unexpected plot twist 18,8
Twisty Movie 19,2001,Unexpected plot twist 19,4
Twisty Movie 20,1985,Unexpected plot twist 20,1
Twisty Movie 21,2023,Unexpected plot twist 21,6
Twisty Movie 22,2014,Unexpected plot twist 22,1
Twisty Movie 23,2017,Unexpected plot twist 23,10
Twisty Movie 24,1987,Unexpected plot twist 24,9
Twisty Movie 25,1997,Unexpected plot twist 25,5
Twisty Movie 26,2003,Unexpected plot twist 26,8
Twisty Movie 27,2011,Unexpected plot twist 27,7
Twisty Movie 28,1991,Unexpected plot twist 28,8
Twisty Movie 29,2021,Unexpected plot twist 29,1
Twisty Movie 30,1989,Unexpected plot twist 30,5
Twisty Movie 31,1991,Unexpected plot twist 31,5
Twisty Movie 32,1999,Unexpected plot twist 32,1
Twisty Movie 33,2014,Unexpected plot twist 33,10
Twisty Movie 34,1991,Unexpected plot twist 34,9
Twisty Movie 35,1999,Unexpected plot twist 35,1
Twisty Movie 36,2006,Unexpected plot twist 36,4
Twisty Movie 37,1993,Unexpected plot twist 37,4
Twisty Movie 38,2022,Unexpected plot twist 38,6
Twisty Movie 39,2018,Unexpected plot twist 39,3
Twisty Movie 40,2005,Unexpected plot twist 40,4
Twisty Movie 41,1991,Unexpected plot twist 41,3
Twisty Movie 42,1988,Unexpected plot twist 42,10
Twisty Movie 43,2000,Unexpected plot twist 43,5
Twisty Movie 44,1980,Unexpected plot twist 44,5
Twisty Movie 45,1999,Unexpected plot twist 45,5
Twisty Movie 46,1982,Unexpected plot twist 46,5
Twisty Movie 47,1993,Unexpected plot twist 47,3
Twisty Movie 48,2021,Unexpected plot twist 48,1
Twisty Movie 49,1994,Unexpected plot twist 49,3
Twisty Movie 50,2004,Unexpected plot twist 50,5
