Street Name,City,Country,Notable Story
Chicken Dinner Road,Caldwell,USA,Named after chicken dinner
Psycho Path,Traverse City,USA,Funny approval error
Frying Pan Road,Fairfax,USA,Historic tavern name
Ha-Ha Road,London,UK,Landscaping feature
Batman Avenue,Melbourne,Australia,Named after John Batman
Street 6,City 6,CountryX,Story 6
Street 7,City 7,CountryX,Story 7
Street 8,City 8,CountryX,Story 8
Street 9,City 9,CountryX,Story 9
Street 10,City 10,CountryX,Story 10
Street 11,City 11,CountryX,Story 11
Street 12,City 12,CountryX,Story 12
Street 13,City 13,CountryX,Story 13
Street 14,City 14,CountryX,Story 14
Street 15,City 15,CountryX,Story 15
Street 16,City 16,CountryX,Story 16
Street 17,City 17,CountryX,Story 17
Street 18,City 18,CountryX,Story 18
Street 19,City 19,CountryX,Story 19
Street 20,City 20,CountryX,Story 20
Street 21,City 21,CountryX,Story 21
Street 22,City 22,CountryX,Story 22
Street 23,City 23,CountryX,Story 23
Street 24,City 24,CountryX,Story 24
Street 25,City 25,CountryX,Story 25
Street 26,City 26,CountryX,Story 26
Street 27,City 27,CountryX,Story 27
Street 28,City 28,CountryX,Story 28
Street 29,City 29,CountryX,Story 29
Street 30,City 30,CountryX,Story 30
Street 31,City 31,CountryX,Story 31
Street 32,City 32,CountryX,Story 32
Street 33,City 33,CountryX,Story 33
Street 34,City 34,CountryX,Story 34
Street 35,City 35,CountryX,Story 35
Street 36,City 36,CountryX,Story 36
Street 37,City 37,CountryX,Story 37
Street 38,City 38,CountryX,Story 38
Street 39,City 39,CountryX,Story 39
Street 40,City 40,CountryX,Story 40
Street 41,City 41,CountryX,Story 41
Street 42,City 42,CountryX,Story 42
Street 43,City 43,CountryX,Story 43
Street 44,City 44,CountryX,Story 44
Street 45,City 45,CountryX,Story 45
Street 46,City 46,CountryX,Story 46
Street 47,City 47,CountryX,Story 47
Street 48,City 48,CountryX,Story 48
Street 49,City 49,CountryX,Story 49
Street 50,City 50,CountryX,Story 50
